,label,code,entity
334,5502 Verotuloihin perustuva valtionosuuksien tasaus,1202484,KKNR
335,5503 Järjestelmämuutoksen tasaus,1230708,KKNR
336,5700-5899 Muut valtionosuudet,1244820,KKNR
337,5701 Opetus- ja kulttuuritoimen muut valtionosuudet,1258932,KKNR
338,5801 Harkinnanvarainen valtionosuuden korotus,1273044,KKNR
339,5850 Muut erittelemättömät valtionosuudet,1287156,KKNR
340,5890 Verotulojen menetysten kompensaatio,3291060,KKNR
341,6000-6999 Rahoitustuotot ja -kulut + (-),510996,KKNR
342,6000-6099 Korkotuotot,496884,KKNR
343,6040 Korkotuotot antolainoista,1301268,KKNR
344,6050 Muut korkotuotot,1315380,KKNR
345,6055 Korkojohdannaisiin liittyvät korkotuotot ja -kulut (tuottoja suojaava),2895924,KKNR
346,6100-6199 Muut rahoitustuotot,482772,KKNR
347,6100 Osinkotuotot ja osuuspääomien korot,1329492,KKNR
348,6115 Korvaus peruspääomasta,1343604,KKNR
349,6116 Korvaus jäännöspääomasta,1357716,KKNR
350,6120 Verotilitysten korot ja korotukset,1371828,KKNR
351,6130 Viivästyskorot,1385940,KKNR
352,6140 Peruspääoman korot kuntayhtymiltä,1400052,KKNR
353,6150 Kurssivoitot rahoituslainoista,1414164,KKNR
354,6160 Arvopapereiden luovutusvoitot,1428276,KKNR
355,6169 Korkojohdannaisiin liittyvät tuotot (ei-suojaava),1442388,KKNR
356,6170 Muut erittelemättömät rahoitustuotot,1456500,KKNR
357,6176 Takausprovisiot,1470612,KKNR
358,6180 Rahoitusarvopaperien arvonalentumisten oikaisut (Arvonalentumisten palautumiset),1484724,KKNR
359,6200-6299 Korkokulut,454548,KKNR
360,6255 Korkokulut lainoista ulkopuolisilta,2839476,KKNR
361,6270 Korkojohdannaisiin liittyvät korkokulut ja -tuotot (kuluja suojaava),2910036,KKNR
362,6300-6399 Muut rahoituskulut,468660,KKNR
363,6330 Kurssitappiot rahoituslainoista,1498836,KKNR
364,6335 Arvopapereiden luovutustappiot,1512948,KKNR
